Author,Rating,Title,Content,Version,Date
Pengguna permataaaa,5,😌,"baru satu kali masukin sandi dibilang udah salah 3 kali masukin sandinya terus disuruh nunggu beberapa menit, ubah kata sandi pake sandi baru masih dibilang salah, ngaco ni aplikasii. benahinn laah.",4.13.1,2025-08-09T01:47:15-07:00
Kepoanjjj,1,ribet!,"Aplikasi ampas ribet!! Daftar susaa, developer bapuk, klo gabisa buat aplikasi mending gausa",4.13.1,2025-08-03T20:43:33-07:00
Qunirrrrrrrrrr,5,Penilaian,"Bagus, bnyk program yg gak jelas",4.11.2,2025-07-11T01:17:12-07:00
shafahaq,5,Pelayanan,Klinik mediska pekalongan pelayananya is the best,4.11.2,2025-07-25T23:13:27-07:00
Yuda80,1,Kok scan wajah ngak bisa,Ini kenapa scan wajah ngak bisa perbaiki lah buru buru ini,4.13.1,2025-08-06T22:38:51-07:00
Dewa juana,1,He he he,Apa yang bisa diharapkan dari apps pemerintah,4.11.2,2025-07-31T06:45:51-07:00
carlos meguer,1,APLIKASII BURIKKK!APLIKASII GA JELAS,"bisa ga si klo bikin aplikasi yang bener, masa face app aja ga bisa, mau daftar gini aja suusahhh",4.13.1,2025-08-14T06:47:30-07:00
MagicCat1303,1,Hufttt,Disuruh verifikasi muka tapi ga bisa access kamera gmn tau ini aplikasi. Sumpah ga ngerti sama pengembangnya,4.11.2,2025-07-20T08:29:26-07:00
kingtomay,1,Fitur pengaduan,"Error spesial character bikin frustasi, kadang karena ngetik kepanjangan aja keluar error ini, tolong perhatiin ux nya kenapa gak di handle langsung dan remove di backend aja yg kayak gini",4.13.1,2025-08-07T22:07:26-07:00
Korbanham,1,face verification,aaahhh aplikasi tolol. verifikasi wajah sampe 5 jam ga bsa.,4.13.1,2025-08-17T20:46:53-07:00
Satudarisekian,1,Apk pemerasan secara halus,"Wajib terdaftar autodebit dan ga bisa di non aktifkan autodebitnya, dan kalo sudah terdaftar bpjs ga bisa dinon aktifkan bpjsnya gils bgt si",4.11.2,2025-07-17T03:09:06-07:00
justopinionn,1,verifikasi wajah buruk,"katanya mempermudah, ini mempersulit aja. mau daftar online langkah pertamanya aja pas verifikasi muka super susah. buruk bgt pindaian nya , gada arahan lagi. apk payah",4.13.1,2025-08-05T07:45:56-07:00
sya ad,1,susah daftar!!!!,"di suruh daftar terus autentikasi wajah tapi aplikasinya tidak mau padahal sudah full itu muka di kotak merah, kameranya jg miror, ada mngkin 5x saya coba tapi tidak bisa, tolong di perbaiki ini, bikin susah orng",4.13.2,2025-09-07T00:52:39-07:00
dendiaditiar,1,Aplikasi gak guna,"Nyusahin rakyat mau update faskes aja ada kendalanya, kamera segala di mirror. IT nya gak guna",4.13.1,2025-08-09T05:09:51-07:00
Ahmadddkk,1,Sampah,Sampah bangett gk bisa verifikasi waja.. Tolong dong diperhatikan lagi aplikasi ini kenapa gk sat set gitu loh kalo mau daftar.,4.13.1,2025-08-10T22:08:29-07:00
mzrs1,1,gajelas,"ni gimana si verif wajah gabisa bisa, di deketin ke kotak gabisa di jauhin gabisa sampe pegel pegangnya apa harus sambil kayang buat verif wajah?",4.13.1,2025-08-03T19:58:48-07:00
Verry syn,1,Bug,Tidak bisa login 6s plus,4.13.2,2025-09-01T02:02:31-07:00
lakleyXR,1,OTP,Nomor OTP ga masuk masuk ke sms nunggu lama bgt taek,4.11.2,2025-07-13T22:43:06-07:00
Martonocell,5,Pindah Faskes,Mudah dan cepat,4.13.2,2025-08-29T18:04:37-07:00
Jimmy crypto,1,TIDAK BISA DAFTAR VERIF WAJAH,"Aplikasi tol*l mau daftar verif wajah aja gabisa-bisa, gimana mau daftarnya tol*l, gabisa buat aplikasi ya gblk, uninstal kasi bintang 1 aplikasi tllol ini",4.13.1,2025-08-16T22:20:47-07:00
Semangka45,1,APK SAMPAH,Jelek gak bisa login apk sekelas government begini🤌🏻,4.11.2,2025-07-13T18:48:15-07:00
alfis0804,1,aplikasi jelek,aplikasi jelek mau daftar online ke poli gigi dan mulut ga bisa,4.13.1,2025-08-14T19:11:04-07:00
rahayudwia,1,JELEK,"ANEH gabisa daftar akun, katanya rekam wajah sesuai kotak, udh di tunggu 5 menit masih juga ga ada perubahan!!!!",4.11.2,2025-07-16T10:51:39-07:00
OlyJoo,1,MINTA PENGENALAN WAJAH,MINTA PENGENALAN WAJAH TP DARI APLIKASINYA GAK BISA AKSES KAMERA,4.13.1,2025-08-08T09:41:05-07:00
LHS Sir,1,Perubahan Faskes,Saya tidak bisa melakukan perubahan faskes. Sampai tahap face recognition tidak ada petunjuk harus melakukan apa. Akan saya ganti jika sudan ada petunjuk jelas,4.13.1,2025-08-14T17:59:29-07:00
Kezbcy,1,Gj,Muka udah di kotak 5 menit ga ngapa ngapain GJ,4.11.2,2025-07-20T01:18:41-07:00
Neo Li 05,1,Hmm,Biar apa pake frista frista sengaja nih biar gabisa daftar online ntah agenda apa yg sedang dijalankan,4.13.1,2025-08-16T06:56:38-07:00
Kezbcy,1,Gj,Muka udah di kotak 5 menit ga ngapa ngapain GJ,4.11.2,2025-07-20T01:18:41-07:00
it'sMeAl,2,Sangat ribet,Mau daftar aja ribet banget harus verifikasi wajah yang ga pernah berhasil . Di suruh hubungi call center malah dari call center di suruh chat wa . Muter2 ga jelas nyasihin pengguna . TOLONG DI PERBAIKI,4.13.2,2025-08-31T17:56:22-07:00
Irfanryadi,1,Face recognition,Fix it!!!!,4.13.1,2025-08-02T09:14:12-07:00
benediktus ketusuk kaktus,1,False jailbreak,Hp iphone ke detect jailbreak padahal gk di jailbreak. Aneh,4.13.2,2025-08-30T11:06:31-07:00
Fakyubit,1,MAINTENANCE!!!,LO KALO BIKIN APLIKASI JANGAN NYUSAHIN MINIMAL DI MAINTENANCE ORANG SAKIT DISURUH BIKIN JKN KETIKA FACE RECOGNITION GA KEDETECT2,4.13.1,2025-08-10T03:08:04-07:00
Deyidi M,1,Sulit mengakses kontak cs,"Saya ingin berbicara dengan cs, tapi tidak ada Kontak Cs di aplikasi Mobile JKN, di WA Pandawa juga tidak ada pilihan berbicara dengan costumer service BPJS Kesehatan.",4.13.1,2025-08-05T01:06:55-07:00
Soknotorobotono,1,Protes dengan tidak benar nya aplikasi,"Ini yang buat aplikasi bisa buat aplikasi atau tidak , verifikasi wajah aja kagak bisa terus aplikasi tolol",4.13.1,2025-08-19T20:25:44-07:00
bpjs tolol,1,aplikasi tolol,"login ga bisa2, buang2 anggaran aja anj",4.11.2,2025-07-11T18:59:41-07:00
Yofffghjiygdessfh,1,Goblok,Aplikasi goblokkk varifikasi wajah gamau tolol,4.13.1,2025-08-05T21:00:16-07:00
Dhdkdudb,1,Lemah dan bodoh,Emang blm mampu untuk maju bikin aplikasi aja bodoh kofe otp gak bisa bisa dasar lemah gak usah sol serba elektronik selama ktp masih minta fotocopy lemah abal abal,4.13.1,2025-08-19T16:49:43-07:00
gustoet,5,Hidup Sehat,Sangat bermanfaat keluarga,4.13.2,2025-09-07T10:24:28-07:00
Aaaannggggiii,1,Tidak bisa DAFTAR,"Gila ya memang aplikasi tolol, disuruh verifikasi wajah tapi gak ada keterangan harus gimana udah berbagai sisi berbagai cara masih aja gak ada respon aplikasinya. Kalo ga bisa bikin aplikasi gak usah bikin deh, NGEREPOTIN",4.13.1,2025-08-04T20:23:50-07:00
mmkjnda,2,mau daftar ga bisa,kenapa fitur kamera nya ga bisa,4.13.1,2025-08-17T03:45:34-07:00
Ddokm,1,Susah,Aplikasi ribet gak bisa daftar,4.13.1,2025-08-08T00:19:44-07:00
Kgs. Muhammad Dedy Rahman,1,kocak,"apa guna buat aplikasi kalo gangguan terus pas ketika genting pula ,aneh pemerintah",4.11.2,2025-07-31T05:30:24-07:00
Tan Guan,1,"Aplikasi amatir, hasil korupsi?","Apakah begini bentuknya aplikasi wajib seluruh rakyat indonesia? Verifikasi wajah di iphone saja tidak bisa nyalakan permission di iphone. Setiap update besar, kita disuruh verifikasi ulang. Verifikasi sering error, SMS tidak masuk dan permission kamera tidak sync dengan iOS. Tim developer ada QA? Atau dananya dikorupsi komisaris BPJS seperti biasa?

PS: rating bintang 4.8 tapi reviewnya sedikit dan bintang satu semua? Silakan dipikir secara kritis itu bintang hasil pembelian atau organik.",4.13.2,2025-08-22T23:22:11-07:00
Scnz.,1,PENDAFTARAN RIBET,"KALO BELUM MAMPU PAKAI APLIKASI GAUSAH MAKSAIN, VERIFIKASI WAJAH AJA GABISA KEBACA2 KOCAK",4.13.1,2025-08-05T06:06:31-07:00
huuuhiiiii,5,Ok,Terimakasih,4.13.2,2025-09-08T21:42:56-07:00
fhrl666,3,Verifikasi wajah sensor deteksinya buruk,Kurang fast respon,4.13.1,2025-08-10T05:43:07-07:00
Astryviola,1,Biometrik gagal terus,Tidak bisa mendaftar dengan biometrik dan selalu gagal.,4.13.1,2025-08-08T20:40:32-07:00
hadehhhhs,1,benerin,kalooo bikin aplikasi tuhh yg bener donggg masa verifikasi muka gabisa” mana mirorr,4.13.1,2025-08-03T19:46:05-07:00
Presiden Konoha,1,Aplikasi Burik,"Loading ga kelar2, UI/UX jadul. Aplikasi sampah",4.13.2,2025-08-31T16:10:41-07:00
Dewa juana,1,He he he,Apa yang bisa diharapkan dari apps pemerintah,4.11.2,2025-07-31T06:45:51-07:00
labdnaoshajamdlocnsjs,1,Verifikasi Wajah Gagal Terus,"Sudah ikuti semua petunjuk, tapi verifikasi wajah tetap gagal. Muka udah pas di kotak, tapi aplikasi tidak respon sama sekali. Ini ganggu banget. Mohon perbaikan!",4.13.1,2025-08-04T00:01:29-07:00
Isana San,1,gak bisa verif muka,"awal gak ada perizinan kamera, terus install ulang, kamera bisa tapi gak bisa verif muka",4.13.2,2025-08-22T16:05:39-07:00
jawajawajawa_,1,Kamera Verifikasi,"Sensor kamera verifikasi nya kayak kont*l  yg buat alias buta map, udah kameranya mode miror dikira ga pusing apa di tambah keram tangan smpe 5 menit ga berhasil” tolol",4.13.1,2025-08-02T04:12:02-07:00
MagicCat1303,1,Hufttt,Disuruh verifikasi muka tapi ga bisa access kamera gmn tau ini aplikasi. Sumpah ga ngerti sama pengembangnya,4.11.2,2025-07-20T08:29:26-07:00
fluoxetrine,3,fix bugs di menu info riwayat pelayanan,fix bugs surat rujukan di info riwayat pelayanan di mobile JKN V.4.11.2 iOS tidak bisa dibuka selalu force close.,4.11.2,2025-07-17T22:06:51-07:00
Callmevidz,1,Tidak bisa daftar untuk KK lain,Semoga para developer indonesia lebih expert dalam buat program.,4.11.2,2025-07-23T21:48:00-07:00
!/!!!!!!!!,5,GOBLOK,"biometric"" peler gabisa login",4.13.1,2025-08-08T20:49:17-07:00
lambe dower,1,Macam pinjol,Mau program rehab tdk bisa karna minta versi yg baru ! Giliran nagih pake acara surat mnyurat ke hrd tempat kerja buat nagih kekurangan ! Aplikasi cuma ngasih waktu maksimal 5 bulan minta lunas dg alasan negara defisit ?!!! Defisit tuh gara” kalian korupsi njinggg !!! Bukan kita yg abisin duit,4.11.2,2025-07-23T04:14:48-07:00
Indrimansyur,1,Verifikasi diri tidak bisa,Apa si masa aku gabisa verifikasi data,4.13.2,2025-09-02T21:32:32-07:00
KadekRiawan,1,Bug,"Biometrik tidak bisa, lanjut buat akun juga tidak bisa. Apa ada solusi?",4.13.1,2025-08-13T05:14:51-07:00
Iwada W,1,Frista tidak respons,"Ubah dara peserta wajib frista, tapi sudah scan wajah tidak ada keterangan apapun. Pastikan terus padahal muka sudah masuk kotak",4.13.2,2025-08-25T01:16:12-07:00
jokotinhkir122,1,Tidak bisa verifikasi wajah,aplikasih sampah buat ribet aja,4.11.2,2025-07-24T20:38:33-07:00
Miss jhope,1,Bpjs seakan tidak berguna,"Saya PNS, gaji di potong setiap bulan untuk BPJS ini, ketika mau berobat tiba tiba bpjs nya tidak aktif, lucu sekali ya. Kemana uang yang selama ini di potong??? Dan aplikasi ini hampir setiap bulan versi nya berubah ubah.. tolong pertimbangkan kami yang tinggal di perbatasan minim sinyal ini.",4.13.2,2025-08-31T19:02:56-07:00
JS Raksanata,1,Verifikasi Wajah,"Saat ada perubahan data, sangat sulit melakukan verifikasi wajah, sudah dicoba beberapa jam dalam beberapa hari, aplikasinya sama sekali tidak merespon, hanya kotak merah yang sama sekali tidak bergerak, tolong diperbaiki min, ini kan project mahal ya",4.13.1,2025-08-03T00:58:34-07:00
Kgs. Muhammad Dedy Rahman,1,kocak,"apa guna buat aplikasi kalo gangguan terus pas ketika genting pula ,aneh pemerintah",4.11.2,2025-07-31T05:30:24-07:00
Ketepas,2,Tidak bisa akses kamera,"Aplikasi tidak mendeteksi kamera untuk diberi akses, aplikasi buruk.",4.13.2,2025-09-10T00:18:48-07:00
Mau lu apa sih anjeng,1,Aplikasi gajelas,"pemerintah kalo bikin sistem buat rakyat yang bener lah,bikin aplikasi gini aja ngga becus eror mulu,yang pegang server ngga niat kerja",4.11.2,2025-07-31T03:48:21-07:00
Rempoaaaa,1,.,"Tidak bisa update faskes, sekali di alihkan ke pengaturan . Padahal pengaturannya sudah sesuai",4.13.2,2025-08-30T16:59:10-07:00
geleuh,1,Verifikasi wajah eror,"""Barang siapa yang mempersulit orang lain, maka Allah akan mempersulitnya di hari kiamat.""",4.13.1,2025-08-21T05:09:55-07:00
Omkegas,1,Verifikasi wajah,"Verifikasi wajahnya payah banget, mirror lagi",4.13.1,2025-08-09T00:57:25-07:00
rkzey,1,saran,TOLONG YA DIPERBAIKI ! jangan menyusahkan bisa ga sih? mau verifikasi wajah aja gabisa! udah berkali-kali dicoba! aplikasi itu jangan dibuat menyulitkan. tolong diperbaiki bagian verifikasi wajah,4.13.1,2025-08-05T19:04:58-07:00
cutyye,1,Otp tidak dikirim,Pulsa ada no aktif tpi otp ga dikirim kirim aneh bgt tujuan diciptakan aplikasi kan untuk mempermudah ini malah makin mempersulit padahl semuanya sudah aman tpi susah bgt tinggal kirim kode otp doang,4.11.2,2025-07-13T18:43:34-07:00
Yeye122,1,GAk Jelas,"KECEWA!!!!,,,NIK,,sudah benar,,mau masuk ajj susahnya minta ampun,,mau minta verifikasi kode,,gak ada respon",4.13.1,2025-08-14T17:29:12-07:00
Umi selly,5,Mobile JKN,Mantappp,4.11.2,2025-07-29T00:32:59-07:00
zeaalzh,1,pendaftaran ribet,"pas aku mau daftar kan harus input data wajah ,masa ga ada tombol buat take nya, terus ga ada perubahan warnanya merah terus, bener bener ngeselin aplikasinya",4.13.1,2025-08-12T07:20:43-07:00
Erric dikky,5,Well done,Sangat membantu,4.13.2,2025-09-01T21:34:51-07:00
Foxynne,2,perekaman wajah gak berfungsi,mau ganti faskes secara online tapi buat proses perekaman wajah gak berfungsi,4.13.1,2025-08-17T19:10:46-07:00
Mani tegas,1,Jelkkkanjg,"Gk bisa verifikasi wajah aneh
Padahl udh didepan kamera pas kotaknya
Sesuai intruksi",4.13.1,2025-08-13T20:42:48-07:00
Kezbcy,1,Gj,Muka udah di kotak 5 menit ga ngapa ngapain GJ,4.11.2,2025-07-20T01:18:41-07:00
nurul ansor,5,saran,sangat membantu bgt,4.11.2,2025-07-11T22:40:02-07:00
G****h,1,Aplikasi gblk,"Udh digaji pake pajak ya aplikasi diperhatiin dong lolot amat??? Masa mau verifikasi wajah aja gabisa, cuma stuck di frame merah pdhl cahaya bagus wajah jelas. Gembel",4.13.1,2025-08-08T11:38:00-07:00
Didikloo,3,OROR,"Kenapa selalu keluar terus dri apk, dan masuk kembali lagi? Eror terus",4.13.1,2025-08-03T18:12:01-07:00
hxhxvxjkwkakamzbshqiau,1,Apk blahbloh,Apk tolollll ngabisin angaran aja,4.13.1,2025-08-06T06:51:03-07:00
OlyJoo,1,MINTA PENGENALAN WAJAH,MINTA PENGENALAN WAJAH TP DARI APLIKASINYA GAK BISA AKSES KAMERA,4.13.1,2025-08-08T09:41:05-07:00
nadindudin,1,sistem gak smooth,"kepesertaan non aktif karena usia mencapai 21, namun saat login sendiri, muncul jg anggota keluarga lainnya. aneh",4.11.2,2025-07-17T07:24:50-07:00
Indre@78,1,Anggaran di korupsi,"Klo belum mampu bikin aplikasi buat monitoring dll khususnya untuk pelanggan jangan sok sok an, klo pun ada niatain bikin aplikasi kek gini anggaran jangan di korupsi biar aplikasi optimal dan berfungsi dengan baik 
Kok bisa aplikasi se bobrok ini rating 4,8 emng klo ada uang bisa membeli semuanya dan klo ada anggaran bisa di korupsi seenaknya",4.11.2,2025-07-16T19:28:41-07:00
greyjoydarker,1,Developernya BODOHHHH,"Mau verif pindah faskes pake harus foto wajah, kalo fitur belom siap jgn di deployyy tolll polotolll blokkk",4.13.1,2025-08-12T19:19:49-07:00
Nanskuyyyyy,1,pelayanan,"gabisa ganti faskes, minta verifikasi wajah, dicoba trs gabisa2, caur",4.13.1,2025-08-09T06:02:15-07:00
LHS Sir,1,Perubahan Faskes,Saya tidak bisa melakukan perubahan faskes. Sampai tahap face recognition tidak ada petunjuk harus melakukan apa. Akan saya ganti jika sudan ada petunjuk jelas,4.13.1,2025-08-14T17:59:29-07:00
Org pengen sehat,1,Verifikasi wajah buat perubahan data kok gk bisa???,Aplikasi jelek,4.13.1,2025-08-06T18:11:06-07:00
fajri hakikiw,1,Layanan,"Aplikasi sampah mau daftar aja gabisa gabisa, stuck di foto muncul kamera doang gak bisa diapa apain gak ada menu lain lain gembel",4.13.1,2025-08-12T19:53:39-07:00
Mr ngomel,1,TOLOL,Aplikasi tolol duit negara dikorupsi doang bikin apk gini aja susah banget. Masa verifikasi wajah untuk eligible ga bisa2 mendingan lu suruh gua jadi it lu otomatis bagus itu apk. Tolol,4.13.1,2025-08-13T01:25:05-07:00
skuymabar,1,permasalahan verifikasi wajah,mau verifikasi wajah gabisa mulu! padahal lagi urgent,4.13.1,2025-08-10T22:04:20-07:00
nanosajaaa,1,aplikasi tidak berguna,"Verivikasi wajah aja gabisa bisa cuma nongol muka doang, udah dipasin tapi gitu gitu aja gada konfirmasi atau apa kayak orang bego jadinya.",4.13.1,2025-08-04T00:22:18-07:00
jawajawajawa_,1,Kamera Verifikasi,"Sensor kamera verifikasi nya kayak kont*l  yg buat alias buta map, udah kameranya mode miror dikira ga pusing apa di tambah keram tangan smpe 5 menit ga berhasil” tolol",4.13.1,2025-08-02T04:12:02-07:00
Presiden Konoha,1,Aplikasi Burik,"Loading ga kelar2, UI/UX jadul. Aplikasi sampah",4.13.2,2025-08-31T16:10:41-07:00
wawams,1,emosi,"giliran vermuk gabisaa,gimana sih ini???!!!!!!!!",4.13.1,2025-08-07T20:18:55-07:00
jskaksnow,1,Jelek,"Dikirain ada app kayak gini mempermudah ternyata makin susah, mau berobat aja susah banget daftar layanan gak bisa terus",4.11.2,2025-07-27T16:33:47-07:00
Fakyeu,1,Korupsi,Gimana sih ini aplikasi gabisa di gunain,4.13.1,2025-08-12T08:55:34-07:00
Nanskuyyyyy,1,pelayanan,"gabisa ganti faskes, minta verifikasi wajah, dicoba trs gabisa2, caur",4.13.1,2025-08-09T06:02:15-07:00
alfis0804,1,aplikasi jelek,aplikasi jelek mau daftar online ke poli gigi dan mulut ga bisa,4.13.1,2025-08-14T19:11:04-07:00
indah nur hikmah,2,SUSAH MASUK APK,"mau login tp infonya offline mulu, dr jam 2 subuh sampe jam 8 pagi bgitu terus.",4.13.1,2025-07-31T17:55:54-07:00
dsyml,1,tidak bisa verifikasi,"gagal mulu verifikasi udah coba di hp yang berbeda tetep aja sama gabisa, offline tulisannya padahal kuota saya masi ada dan sinyal bagus.",4.11.2,2025-07-10T20:56:11-07:00
Austinleon,5,Sangat Membantu,Dengan Mobile JKN Mempermudah Kita Dalam Chekup dan Mempermudah Antrian.,4.13.2,2025-09-02T06:51:22-07:00
ZanAzh,1,Error ketika verifikasi wajah,Aplikasi selalu error ketika verifikasi wajah ketika daftar. Sangat sulit untuk pengurusannya,4.13.1,2025-08-18T06:34:52-07:00
babyyulk,2,Customer Service need to be fixed,CS call in apps need to be fixed. I want to use it but can’t be use. only display blank space,4.13.2,2025-09-08T20:37:36-07:00
abcdkaihak,1,",","gak bisa verifikasi wajah!! alhasil saya gabisa daftar,pdhl penting banget,,skrng ijin sakit diperusahaan hrus sudah dftr aplikasi ini,kalau belum ga bisa verifikasi skd dan gaji terpotong",4.13.1,2025-08-06T15:29:10-07:00
Mochamadtaufiqazri,5,mantapp,sangattt membantu,4.13.2,2025-08-28T00:45:24-07:00
mzrs1,1,gajelas,"ni gimana si verif wajah gabisa bisa, di deketin ke kotak gabisa di jauhin gabisa sampe pegel pegangnya apa harus sambil kayang buat verif wajah?",4.13.1,2025-08-03T19:58:48-07:00
AOQUDU,1,APK SAMPAH SOK PAKE SCAN WAJAH TAPI GAJELAS,KALO GA BECUS BUAT TEKNOLOGI GAUSA SOK DI BUAT BIAR KEREN KOCAKK 😡🤬,4.13.1,2025-08-04T20:56:55-07:00
Anty fahrul,5,Mempercepat proses kerumah sakit,JKN is the best,4.13.2,2025-09-09T18:02:57-07:00
Kepoanjjj,1,ribet!,"Aplikasi ampas ribet!! Daftar susaa, developer bapuk, klo gabisa buat aplikasi mending gausa",4.13.1,2025-08-03T20:43:33-07:00
Said Agung,1,Face recognition,"Aplikasi sangat buruk, face recognition tidak berfungsii, wajah sudahh terletak pada kotak yg desediakak tapi tetap saja tidak bisa diproses. DAN TIDAK ADA TOMBOL BANTUANN, saya butuh untuk kerjaan tapi aplikasi ini mengecewakan….",4.13.1,2025-08-19T20:42:38-07:00
Qunirrrrrrrrrr,5,Penilaian,"Bagus, bnyk program yg gak jelas",4.11.2,2025-07-11T01:17:12-07:00
alyachalum,1,VERIFIKASI WAJAH GAGAL,Verifikasi wajahnya ga berhasil. Tolong ini diusut deh bikin aplikasi bukannya memudahkan malah menyusahkan. Udah banyak yang komplain loh udah berbulan2 jg gaada perubahan,4.13.1,2025-08-19T10:39:39-07:00
@grt.80,5,Makasih,"Pelayanan untuk perubahan faskes cepat dan sangat membantu Terimakasih , dan tidak lama dan sangat cepat",4.11.2,2025-07-14T23:58:44-07:00
Virant19,1,Susah,"Lupa pasword, namun ketika mau mengganti sudah memasukan nomor hp tapi tidak mendapat kode otp melalui sms. Udah dicoba berulang kali tapi tetep tidak menerima kode otp, padahal nomor sudah benar",4.13.2,2025-08-28T17:10:24-07:00
Yusron Bastian,1,APLIKASI TOLOL,"Mau rekam wajah. Pas buka kamera gak ada tombol take picture lah, trus rekam wajahnya pake apa? Yg bikin aplikasi kek KONTOOOLL",4.13.1,2025-08-19T07:36:23-07:00
Apk gajelasss,1,Mau login malah salah nik,Gak bisa login tulisan nya salah NIK padadal sesuai sama di kartu yang terdaftar,4.11.2,2025-07-09T22:44:08-07:00
Iwada W,1,Frista tidak respons,"Ubah dara peserta wajib frista, tapi sudah scan wajah tidak ada keterangan apapun. Pastikan terus padahal muka sudah masuk kotak",4.13.2,2025-08-25T01:16:12-07:00
Putri Nabillah ilhany,5,Keunggulan mobile JKN,Keren banget dengan adanya penggunaan aplikasi mobile JKN saya dapat melakukan segala nya dengan mudah dari informasi sampai mengakses jika sakit,4.11.2,2025-07-30T21:07:27-07:00
Tonycahya,1,Foto verifikasi wajah nya gak mau”,Foto verifikasinya wajah gak mau”,4.13.1,2025-08-17T18:33:09-07:00
