author,rating,content
petrah mbois,1,"aplikasi gak ada guna,,"
El Melia,5,"Cukup jelas, tidak membingungkan"
Wahab ALUNAN,5,Saya Berharap Pertahanan Kwalitasnya 👍
perana jaya,5,Sangattttt membantuuuuu
Pengguna Google,1,kode captca tidak muncul
Marendra Sentanu,1,Mau daftar akun tapi kode captcha gapernah muncul muter terus!
kdharma parsua,1,Aplikasi paling menyebalkan dan ribet luar biasa 👎👎👎👎👎
Fahrunissa Amalia,2,Setiap kali login harus update terus 😅😅 setelah update keterangannya transaksi belum dapat diproses.
Yulianus Nong,5,Terimakasih Mobile JKN
Pengguna Google,5,Sangat membantu
Hendra Wu,2,"Bagusnya diganti nama jd ""JKN UPDATE "" saja."
Eli Nurlaeli,3,Pelayanannya bagus
Rupingah Rupingah,5,Mobil jkn top
Hendrick Daniel,5,"Sangat bermanfaat, Terima Kasih"
Alex Wae,1,Kenapa habis diupdate mlah gk bisa login..alasan password salah. Aplikasi busuk. Sampah kebanyakan update
Dede Suhendar,5,Bagus mempermudah jangkauan berobat
sudaryanto ari wibowo,3,"aplikasinya makin kesini makin susah, mau daftar antrian online di faskes 1 selalu tidak bisa."
CV QOLBI KARYA,5,Sangat membantu
japraz boedhz,5,Sangat membantu
kadek awatara,4,cepat dan mudah
Pengguna Google,3,"Bagus sih ada aplikasi BPJS via online. Tapi tolong diperbaiki aplikasinya. Susah banget mau login. Padahal internet lancar, kuota masih banyak tetapi susahnya minta ampun."
Nadhifta Alrizki maulid,4,hadeuuuuuh.... baru juga 1 minggu udah minta update lg ngabisin kuota doang pleaseeee admin diperbaiki agar tdk mnta update terooos
Anita Kauda,5,Sangat membantu
Abah Ocat Official,5,Bagus. kalau kartunya ketinggalan dan perlu berobat saya tunjukin di aplikasi ini.
Sugeng Candra Kirana,3,lupa pasword udh reset ttp ndk bisa login
Billy Antonio,2,Gangguan terus
zaynudin yacob,5,Sangat membantu
Tarno Enno,5,Sangat membantu
Pertiwi Aprianty,5,"Aplikasi ini sangat membantu, dan ok banget. Ga perlu lagi cari2 atau bawa kartunya. Tinggal tunjukin aja via aplikasi beres sudah. 👍👍👍"
Sandra Siagian,1,"Mau daftar masuk aja susah butuh bbrp hari, pulsa tidak mencukupi trs pdhl pulsa banyak. Sdh berhasil masuk mau ganti alamat email, susah juga. Tidak dapat di proses trs, pulsa kepotong trs buat kode verifikasi tp gagal trs. Bikin susah orang. Kalau belum siap bikin aplikasi mending gausah bikin."
Sis Mahardika,4,Ada peningkatan aplikasi nya Terus tingkatkan biar lebih mudah dlm mengakses data dan rubah data
Iskandar Putra,5,Good Fitur..tapi sebaiknya jangan berulang-ulang
Ikrar NB,5,Membantu sekali karena dipermudahkan segalanya thank you JKN KIS
No Name,2,"Salah satu kekurangan yang belum berubah sampai sekarang adalah Tiap update aplikasi, HARUS SELALU LOG IN, padahal aplikasi yang lain juga kalau ada aplikasinya harus di update gak pernah login, kalaupun log in gak seribet ngisi berbagai kolom disini 😞😢"
Rindi Ani,1,Jlk bgt gabisa buka apkmya
Asf Ahmad,1,Ga bisa di buka..... notifikasi root..... Padahal hp baru...... payah Beberapa kali uninstall...... masih tetap Uda ada setahun lebih belum ada perbaikan
Pengguna Google,5,Sangat membantu
Astri Lika,5,"Jangan terlalu mahal ia jkn ,kmi ibu rmah tangga biasa yg butuh bbjs 🤭🤭😂😂🙏🙏🙏🙏"
Pengguna Google,5,Sangat membantu
abdul latif,2,Tidak bisa masuk ke aplikasi !!
Pengguna Google,2,Knp aplikasi ini setiap dibuka harus di update terus?
nano-nano channel,1,Kenapa kok setiap mau kirim kide verifikasi selalu gagal
Regin Prasetya sanjaya,5,Sangat membantu
Agus projects,1,tolong diperbaiki dong masa ga bisa log in trs
YC Channel,4,Dari kelas 1 Untuk pindah ke kelas 3 sangat sulit.mohon pencerahannya.
Septipal Alam,5,"Alhamdulillah bisa update nmor HP via browser, terimakasih🙏"
Pengguna Google,5,Ok sangat membantu
Imam Wahyudi,5,Sangat membantu
Ajeng Rahayu,1,Mau pendaftaran peserta baru..malah gak bisa hubungan keluarga tidak terdaftar
Pengguna Google,1,Susah betul mau online aplikasi nya 👎 mengecewakan
an dry,1,aplikasi buruk sebentar sebentar log out capek masuk 👎👎👎 ga becus ga usah bikin aplikasi segala lah
Inneke Widha,5,Sangat membantu
Pengguna Google,1,Aplikasi sering eror. Tidak bisa log in
Jadul,1,"Sepertinya Aplikasi ini penting,,,tapi ko ga jelas amat,,,login ajh payah,,apalagi yg lain lain"
Ardi Suwardi,5,Sekarang dh bagus LG aplikasi JKN saya kasih bintang 5 dh...
HASRUDDIN,5,good aplikasi memudahkan kita tanpa kekantor jadi hemat waktu
Pengguna Google,5,Susah...untuk aplikasi jkn Sdh terdaftar..hrs update dan susah login karena salah data terus.. Mohon bantuannya bagi kami para pengguna aplikasi ini....
hariyanto gunawan,1,Apa yg harus diupdate menunya itu terus
Hamdani Sufri,5,sangat bagus dan membantu
puji h,2,"Minta update, sudah dituruti ,eh tinggal gak bisa dipakai ,,,,,, loading terus... Mohon dijawab disini saja pak ,agar yg mengalami hal yg sama seperti saya bisa mengambil pengalaman dari sini. Trims."
azizah,1,"bikin kesel mau daftar aja banyak banget iklannya, gagal terus ke ulang lagi ke bagian awal lagi. bikin capek aplikasinya. semoga ada perbaikan"
Abdul Azis,1,"Semenjak diperbaharui gak bisa login menggunakan no bpjs/nik, dan masalahnya lagi lupa pasword. Mohon bantuannya"
Hanabi Expert,1,Knpa yah tiap mau ngisi kelas rawat inap ngga bisa di klik trus gmna ini
Dina Maryana,1,tolong di perbaiki lagi dong. masa mau pindah faskes aja harus ke kantor bpjs terdekat. mana kantornya jauh. zaman digital masa pindah faskes masih manual☺
Rizki Rachmatullah,5,Mantab aplikasi yg sangat simple dan modern
Pengguna Google,5,semoga bermanfaat buat semua
Pengguna Google,5,Sangat membantu
Dani Kusdinar,5,Dengan adanya aplikasi JKN mobile sangat membantu sekali untuk melakukan pendaftaran online maupun untuk mendapatkan informasi yang lengkap guna mendapatkan kamar perawatan baik itu di faskes tingkat pertama maupun ke rumah sakit
putra dera,5,Sangat membantu sekali Terimakasih
Pengguna Google,1,Aplikasi minta update mulu... udh gtu sering g bisa kebuka payah
Bnoe Retro,1,Ini aplikasinya kenapa ya stelah update tidak bisa dbuka.. Muncul tulisan tidak bisa dbuka pada emulator device root... Pdahal HP sya tidak pernah di root.. Dan sudah dcek di aplikasi rootbeer juga aman
andry ana,1,sangat tidak membantu
Mnoor Fikri,1,"dahlah, jaringan bagus tapi otp ga ke kirim"""
Pengguna Google,4,Semoga Allah memberikan kesehatan lahir batin dan RidhoNya
Muhindra Pratama,1,"Kenapa saya tidak bisa merubah alamat email, sampai habis pulsa di sedot tiap mau verifikasi"
ねこ,1,Minimal di maintenance dong APK nya. Masa verif SMS udah gantibHP dan jaringan bagus tetep error. Jelek! Ngga usah ada APK kalau ngga bisa mempermudah!
Sisca Nur Anggraeni,1,"aplikasi tolol gabisa login alesan salah captcha mulu pdhl bner, loading seabad fak 🖕🖕🖕"
Pengguna Google,2,Kenapa Tidak mau masuk ke aplikasi. Kemaren baik2 saja.
Raihan Muhammad,5,Bpjs melindungi keluarga Ku.
Matobii 1006,5,Memudahkan dalam segala hal terkait pelayanan kesehatan
Rindi Pratiwi,5,memudahkan mendaftar
Rino Syafrizal,1,Aplikasi rusak ngga bisa buat daftar akun baru ... Parah parah
Yani Sri Rusiani,3,Agak sulit mau daftar
ANGIN RAWA,2,Mengubah nama sama nik kk aja gak bisa
athaya aizza,1,"Aplikasih payah, susah buat daftar,kode otp tak kunjung muncul,,masalah banyak pada aplikasi,entah knapa yang dibuat pemerintah selalu bermasalah"
Bahruddin Komdan,3,Bersifat lingkup pekerjaan yang merekrut juga mewadahi kegiatan terkini
Aris Nur Mahendra,1,"Tidak bisa berjalan pada HP Root, padahal dulu bisa berjalan."
nesyakaira m,5,alhamdulillah .. dimudahkan mengganti fasilitas kesehatan dari aplikasi
Faiza Alya Aziza,5,aplikasi JKN mantan sangat membantu
Pengguna Google,5,bagus...bisa cepat prosesnya
Pengguna Google,5,"Turun kah harga, please!"
Ade sugasty,2,Mohon diperbaiki lagi aplikasinya
Chinta Erniyati Makapuas,1,Selalu minta update!.klo gk update gk bisa masuk!.
putra link,5,Sangat membantu sekali
Nurdin udin (Nurdin),1,Sempurna..sangat menyulitkan😂😂😂👎👎👎
Hedi Agus,1,Sering update ngabisin kuota aja
Lailatul Jannah,1,"Kecewa, masak belum sebulan aja tiap kali minta update terus.. sdh diupdate sering eror jg. kok malah mempersulit ya"
heri kuswanto,2,"Kenapa mau daftar apk gak bisa, kenapa harus datang langsung dulu??"
Wahyu Gunawan,2,"malah buat susah, karena tidak bisa daftar ke rumah sakit secara online. selalu messagenya tidak ada jadwal dokter. padahal di cek di website rumah sakit kuati dokter masih banyak. mohon solusinya"
SAHFALEFI M.Pd.,5,"Aplikasi JKN bagus and secure, Call Center juga cepat jawabannya, semoga jaya BPJS dan masyarakat Indonesia semua sehat dan bahagia selalu, Aamiin Terima kasih BPJS."
Windi Kusuma Wardani,3,Ini apknya lg eror apa gimana yah?? Saya sudah masuk tpi pas udh masuk loading mulu mau ngecek padahal😏
Dewoo Putra,5,"Untuk keseluruhan sangat membantu dan sangat bagus, terus tingkatkan sesuai perkembangan nya"
Irul Fadil,1,Ampun ne aplikasi ribet parah..
Hendar Narsolah,5,"Bagus, membantu.."
Erna Ningsih,5,Pokoknya ngebantu banget aplikasi ini
Krise Ari sanggi,5,sangat membantu sekali terimakasih mobile JKN kami masyarakat Indonesia sangat membutuhkan kartu KIS ini...
Pengguna Google,3,Mudah dipahami
Rus Rusty,5,Mudah dan membantu
YX MOBA,2,Verifikasi aja lemot padahal sinyal internet di saya bagus gk jelas nih aplikasi bukan nya mempermudah malah mempersulit
Lidya Yuliana Siallagan,1,Website nya pun sama gk bisa dibuka juga.. Hadeeehhh pusing lah..
Mohammad 76andy,1,Aplikasi nya di suruh update mulu belom juga 2 minggu
tarmidi komenx,5,kenapa stiap minta update versi di hp tdk mndukung??
xeesoxee,3,"KODE OTP GA MUNCUL, APK GILA"
Andre Pinontoan,1,Kikir !. perkara kode OTP-nya disuruh pengguna yang tanggung.
bintang aryodipo sugihraharjo,1,"Ini kenapa saya tidak bisa mendapatkan nomor OTP di SMS padahal saya punya pulsa dan dicoba berkali2 pun tetap sama, tolong ya diperbaiki"
Adam Rozak,5,Mempermudah akses data JKN
Filipus Glenn,4,"Mohon diperbaiki lagi ketika memasukan chapta lemot banget, terus malah offline"
Pengguna Google,2,kenapa setelah updaute tidak bisa login keterangan belum terdaptar
Sulasno Fauzi,5,Ya alhamdulilah mudah
Rio Pratama,1,Paling buruk masuk login selalu gagal terus.... Dulu emang bagus tapi sekarang jelek bawaget gak bisa membantu
Iki Abdul Mulki Aziz,1,"Susah bsnge6 nerima verifikasi, alasannya offline padahal saya pakai WIFI"
Karsa Hendrawan,5,"Bermanfa'at sekali Trimakasih Sangay membantu, Cuman kalo bisa usul untuk pendaftaran kalo bisa 1 nomor & satu email bisa untuk semua bpjs,, kalo ga minimal 3 lah, biar buat 1 keluarg Trimakasih"
Indri Putri,5,Pelayanan yang sangat memuaskan dan memudahkan.terimakasih
Hermanx aja,1,Kenapa ko berkali kali aku mau log in ngk bisa ya muncul kartu anda tidak terdaftar aneh padahl ak ngk pernah telat bayarnya
Handayani Budi Lestari,5,"Sangat terbantu, terimakasih"
Lol ML,2,"Kenapa selalu harus update,bikin kouta sekarat"
Arina Bahri,5,Sejauh ini mudah untuk aplikasinya
Ridwanaditiy PRATAMA,5,Sangat membantu Sekali
Andre Prasetio,5,Sangat membantu
Sri Istini,1,"Tiba2 tidak bisa daftar online, notif error Sudah diperbarui dan cari akses jaringan lain kendala masih sama Sudah mencoba selama 2hr tetap tidak bis, aplikasi errror Kalau tidak bisa digunakan untuk apa aplikasinya?"
Firdaus Matasin,3,"Sdh update tp msh minta update terus, gak bisa masuk."
vina juliana,5,Pertahankan kualitas
Blank Azzah,5,sangat mudah di akses
Randi Kurniawan,5,Mksh bnyak SDH sangat membantu keluarga saya
Resi Channel,5,Update terbaru bikin semua jadi mudah
Aa Nursaid,2,"Apk nya gak bisa di buka kenapa ya, padahal sinyal bagus ja"
Deliana Kartikasari,5,jadi lebih mudah ada apk mjkn..
Adhytia Pahlawan,3,"Tolong beri penjelasan lanjutan, ketika login harus daftar autodebit jika belum, dan kebetulan saya belum, lalu pada proses verifikasi akhir pendaftaran autodebit, tidak ada kode apapun yang dikirimkan, akhirnya proses login saya terganggu, tolong petunjuknya apa yang musti dilakukan karena saya sudah coba berkali2"
ingga wulandari,1,"ini aplikasi gimana sih belum pernah daftar akun tapi setelah registrasi masukkan nomor telepon ada warning katanya nomor sudah pernah digunakan peserta lain , terus siapa yang gunain nomor saya wong saya nggak pernah pakai baru juga mau pakai nggak bisa ini gimana solusinya mau daftar aja disusah""kan???????"
Sartika Ariani,5,Aplikasinya sangat baik
Endang Praptiwi,4,Saya sudah mencoba masuk di dalam apk nya nya di minta untuk verifikasi lg.trnyata nomer dan email masih bisa di pake kok sudah gak bisa masuk àpk nya
Nurhishare,5,"Nah gitu dong bagus sering-sering update, aplikasi BUMN harus lebih baik dari swasta, tingkatkan terus dalam memudahkan masyarakat 👍"
Abdul Haris,1,Saat mendaftar bisa bikin pasword pakai spasi Giliran pas login pasword nya gabisa pakai spasi Jadi gabisa login sama skali
Ericha Fatma,1,"App gak bisa di akses ..Minta update tapi gak ada update. .. uninstall download ulang tetep minta update ...trus tetap gak bisa akses tulisannya minta ""update"" niat gak sih bikin app"
rokenrol palsu,5,Sangat membantu terima kasih banyak
Herlinawati S Lina,5,"Cepat, dan bagus"
Pengguna Google,3,cara cek nomer kartu yg udah terdaftar tp belum ada kartunya gimana
Aris Sunendar,5,Alhamdulillah saya sangat terbantu dgn ikut jadi peserta bpjs kesehatan ini saat saya dioperasi karena ada benjolan kista sehingga masalah biaya operasi dll sdh ditanggung oleh bpjs kesehatan. Terimakasih bpjs kesehatan.
Pengguna Google,5,Luar biasa sangat membantu.
zaelani musonif,1,Aplikasi sangat susah dipakai dan eror terus
"Baihaqi, S.M. MYP",5,Sangat membantu
Ibra Toma,5,Pelayanan aplikasi lebih mudah
Mäs Nizam Zauhair Ramadan,5,Tetap ku beri 5 apapun alasannya berguna atau tidak berguna. Intinya pengembang sudah berusaha semaksimal mungin dalam aplikasi ini
Tuty Alawiyah,1,"Saya kecewa masa setiap mau cek setiap bulan iuran bpjs harus di update terus,"
jojo,2,"untuk sekedar login ,cek kartu sih oke. tapi saat mau pindah faskes dan saat mau nyimpen malah bengong😂"
DEDY,1,aku lupa pasword. mau di ganti paswordnya. pas minta kode otp kok gak ada notifnya. piye iki
Ririn Bian,5,"Karna sangat penting, untuk melihat kartu BPJS aktif pa ga"
Sami Ae,1,"Maaf saya kasih bintang 1 karena kode chapta nya bikin pusing. Makin kesini bukan nya makin gampang buat masuk ini makin sulit, mana anak masih berobat jalan di RS, mau daftar buat besok ini malah gak bisa."
Ari Allbucari,5,Saingat bermanfaat untuk pengecekan dan semua kebutuhan
Muh Suparman,5,App sangat membantu untuk pasyen..terima kasih jkn....
ANITA CUEW,1,"Ini kenapa ya selesei di upgrade malah gk bisa masuk, ah nomor salah, ah sandi salah, ah gapca salah, ah ini ah itu."
Pengguna Google,3,Lebih dimudahkan up date nya
Suki Man,5,Aplikasi nya sangat membantu keluhan masyarakat
Masdian S.Sos.I,5,Laporan Kesehatan Pribadi
Uch Iel,1,"Tidak bisa boking pendaftaran online, diperbaiki lagi"
Pengguna Google,2,mengapa setelah saya mendownload saya tidak dapat masuk ke aplikasinya ya tolong di perbaiki ya
Elah Hayati,5,Sangat membantu sekali mamudah kan pelayanan Kami
Safina 33,1,"Aplikasi yg sangat membingungkan uda ablet daptar pas di buka bilang nya blm terdaptar,pas daptar bilang nya Uda daptar"
Gugum Gumara,1,"lelet , keluar terus"
Firman Rizki Harahap,2,Ribet update muluuu......
Andrianes tutkey,1,"Udah bnr semua, tp Gagal login cek di yutub banyak yg samaaaa"
Latif Abdurrohman,5,Sangat membantu
Faiz Zil,2,Setiap updet selalu harus daftar ulang... Ini aplikasi negara atau emang aplikasi abal2 sih... Masak updet 1 bln sampai 3x Belum lagi gak buka sampai satu minggu langsung harus daftar balek..
Andre Fermana,5,Sangat mudah digunakan.
Thoxkul Wahyudi,5,Mantap dan sangat membantu
Yudha Nur,1,"Jaringan lancar buat buka aplikasi lain juga lancar, tapi buat buka aplikasi mobile jkn trouble terus. Seharusnya memudahkan user tp kok ini malah menyulitkan, ah sudahlah tolong diperbaiki lagi."
Jemi nemo,2,kode otp auto Debit engga di kasih kasih
Evtysia Amelia23,1,Aplikasinya gk jelas banget. Baru dibukak udah keluar sendiri. Nyesel dowloand
Infinix Hot40i,1,sering error g bisa d pake untuk daptar kesehatan
Muntiah Mutmainnah,1,Masa dah daftar di online nya sebelumnya udah bisa... malah kembali ke awal lagi...gajelassssss ni aplikasi lama2😏
Fanny,1,"Wah parah, sudah kena biaya pengiriman koda OTP tapi kode tidak ada satupun masuk 👍"
